,ate,se,ci_lower,ci_upper,n_treated,n_control
act,0.02895705368889585,0.010726966110951568,0.007932200111430778,0.049981907266360925,187.0,4601.0
cbt,0.05608329451015159,0.011211947434937248,0.03410787753767459,0.0780587114826286,1307.0,3481.0
dbt,0.09277133740051699,0.0112771227329837,0.07066817684386895,0.11487449795716503,666.0,4122.0
mindfulness,0.07455930988875037,0.010434202719186977,0.0541082725591439,0.09501034721835684,544.0,4244.0
